pergunta,rótulo
"Quem é o atual presidente do Brasil?",0
"Qual o preço da gasolina hoje em São Paulo?",1
"Quando será o próximo eclipse solar visível no Brasil?",1
"Quantos pontos o Flamengo tem no Brasileirão 2025?",1
"Quais foram as últimas atualizações do ChatGPT?",1
"O que está incluso no novo pacote econômico do governo?",1
"Quais países ainda estão com restrições de viagem por conta de doenças?",1
"Quando será o próximo Enem?",1
"Qual o resultado do último sorteio da Mega-Sena?",1
"Quando estreia o novo filme dos Vingadores?",1
"Quem descobriu o Brasil?",0
"Como funciona o ciclo da água?",0
"O que é uma célula eucarionte?",0
"Qual a função do sistema respiratório?",0
"Quem foi Isaac Newton?",0
"Qual é a fórmula da área de um triângulo?",0
"Quais são os planetas do sistema solar?",0
"Como ocorre a digestão no estômago?",0
"O que é fotossíntese?",0
"Qual a diferença entre rochas ígneas e sedimentares?",0
"Quantos títulos tem o neymar?",1
"A maçã é de que cor?",0
"Quem é o papa atualmente?",1
"Quando o Silvio Santos morreu?",1
